RecordID,Seed,PredictionRank,EnsembleWeight
MEAS_R000470,20260811,3,1.0
MEAS_R000471,20260607,3,1.0
MEAS_R000480,20260607,3,1.0
MEAS_R000490,20260523,3,1.0
MEAS_R000491,20260607,3,1.0
MEAS_R000496,20260811,3,1.0
MEAS_R000498,20260523,3,1.0
MEAS_R000503,20260811,3,1.0
MEAS_R000506,20260811,3,1.0
MEAS_R000513,20260607,3,1.0
MEAS_R000515,20260903,3,1.0
MEAS_R000003,20260607,3,1.0
MEAS_R000008,20260811,3,1.0
MEAS_R000013,20260607,3,1.0
MEAS_R000029,20260701,3,1.0
MEAS_R000032,20260903,3,1.0
MEAS_R000035,20260811,3,1.0
MEAS_R000042,20260607,3,1.0
MEAS_R000046,20260811,3,1.0
MEAS_R000050,20260811,3,1.0
MEAS_R000054,20260701,3,1.0
MEAS_R000057,20260523,3,1.0
MEAS_R000063,20260607,3,1.0
MEAS_R000066,20260523,3,1.0
MEAS_R000079,20260811,3,1.0
MEAS_R000082,20260523,3,1.0
MEAS_R000084,20260701,3,1.0
MEAS_R000100,20260903,3,1.0
MEAS_R000107,20260523,3,1.0
MEAS_R000118,20260811,3,1.0
MEAS_R000123,20260811,3,1.0
MEAS_R000124,20260903,3,1.0
MEAS_R000130,20260811,3,1.0
MEAS_R000146,20260701,3,1.0
MEAS_R000147,20260811,3,1.0
MEAS_R000149,20260811,3,1.0
MEAS_R000153,20260903,3,1.0
MEAS_R000158,20260523,3,1.0
MEAS_R000160,20260811,3,1.0
MEAS_R000164,20260701,3,1.0
MEAS_R000166,20260607,3,1.0
MEAS_R000168,20260701,3,1.0
MEAS_R000181,20260903,3,1.0
MEAS_R000188,20260903,3,1.0
MEAS_R000189,20260701,3,1.0
MEAS_R000195,20260811,3,1.0
MEAS_R000203,20260523,3,1.0
MEAS_R000204,20260523,3,1.0
MEAS_R000212,20260701,3,1.0
MEAS_R000216,20260903,3,1.0
MEAS_R000217,20260811,3,1.0
MEAS_R000219,20260701,3,1.0
MEAS_R000229,20260701,3,1.0
MEAS_R000231,20260523,3,1.0
MEAS_R000238,20260903,3,1.0
MEAS_R000244,20260701,3,1.0
MEAS_R000246,20260811,3,1.0
MEAS_R000251,20260701,3,1.0
MEAS_R000260,20260701,3,1.0
MEAS_R000265,20260701,3,1.0
MEAS_R000266,20260701,3,1.0
MEAS_R000269,20260607,3,1.0
MEAS_R000276,20260607,3,1.0
MEAS_R000280,20260607,3,1.0
MEAS_R000283,20260523,3,1.0
MEAS_R000289,20260811,3,1.0
MEAS_R000302,20260523,3,1.0
MEAS_R000306,20260701,3,1.0
MEAS_R000311,20260523,3,1.0
MEAS_R000313,20260701,3,1.0
MEAS_R000320,20260701,3,1.0
MEAS_R000325,20260523,3,1.0
MEAS_R000334,20260701,3,1.0
MEAS_R000336,20260607,3,1.0
MEAS_R000339,20260701,3,1.0
MEAS_R000345,20260701,3,1.0
MEAS_R000351,20260811,3,1.0
MEAS_R000355,20260523,3,1.0
MEAS_R000357,20260701,3,1.0
MEAS_R000373,20260523,3,1.0
MEAS_R000374,20260607,3,1.0
MEAS_R000383,20260607,3,1.0
MEAS_R000385,20260523,3,1.0
MEAS_R000391,20260523,3,1.0
MEAS_R000392,20260607,3,1.0
MEAS_R000407,20260701,3,1.0
MEAS_R000430,20260523,3,1.0
MEAS_R000445,20260701,3,1.0
MEAS_R000449,20260701,3,1.0
MEAS_R000456,20260701,3,1.0
MEAS_R000460,20260903,3,1.0
MEAS_R000462,20260607,3,1.0
MEAS_R000466,20260523,3,1.0
MEAS_R000472,20260811,3,1.0
MEAS_R000476,20260701,3,1.0
MEAS_R000482,20260903,3,1.0
MEAS_R000493,20260811,3,1.0
MEAS_R000494,20260811,3,1.0
MEAS_R000501,20260701,3,1.0
MEAS_R000507,20260607,3,1.0
MEAS_R000517,20260523,3,1.0
MEAS_R000001,20260523,3,1.0
MEAS_R000002,20260903,3,1.0
MEAS_R000012,20260523,3,1.0
MEAS_R000015,20260523,3,1.0
MEAS_R000020,20260811,3,1.0
MEAS_R000025,20260523,3,1.0
MEAS_R000030,20260811,3,1.0
MEAS_R000033,20260903,3,1.0
MEAS_R000036,20260811,3,1.0
MEAS_R000045,20260701,3,1.0
MEAS_R000049,20260701,3,1.0
MEAS_R000056,20260903,3,1.0
MEAS_R000060,20260523,3,1.0
MEAS_R000061,20260523,3,1.0
MEAS_R000065,20260811,3,1.0
MEAS_R000068,20260701,3,1.0
MEAS_R000077,20260811,3,1.0
MEAS_R000081,20260523,3,1.0
MEAS_R000090,20260903,3,1.0
MEAS_R000092,20260701,3,1.0
MEAS_R000096,20260811,3,1.0
MEAS_R000106,20260701,3,1.0
MEAS_R000119,20260701,3,1.0
MEAS_R000121,20260607,3,1.0
MEAS_R000128,20260607,3,1.0
MEAS_R000135,20260523,3,1.0
MEAS_R000138,20260523,3,1.0
MEAS_R000139,20260607,3,1.0
MEAS_R000143,20260523,3,1.0
MEAS_R000157,20260607,3,1.0
MEAS_R000161,20260811,3,1.0
MEAS_R000165,20260523,3,1.0
MEAS_R000175,20260523,3,1.0
MEAS_R000186,20260523,3,1.0
MEAS_R000193,20260523,3,1.0
MEAS_R000199,20260523,3,1.0
MEAS_R000201,20260523,3,1.0
MEAS_R000205,20260607,3,1.0
MEAS_R000209,20260607,3,1.0
MEAS_R000214,20260811,3,1.0
MEAS_R000221,20260523,3,1.0
MEAS_R000225,20260523,3,1.0
MEAS_R000228,20260903,3,1.0
MEAS_R000232,20260811,3,1.0
MEAS_R000240,20260701,3,1.0
MEAS_R000241,20260523,3,1.0
MEAS_R000250,20260903,3,1.0
MEAS_R000257,20260607,3,1.0
MEAS_R000258,20260607,3,1.0
MEAS_R000264,20260607,3,1.0
MEAS_R000270,20260607,3,1.0
MEAS_R000273,20260903,3,1.0
MEAS_R000277,20260701,3,1.0
MEAS_R000286,20260607,3,1.0
MEAS_R000294,20260903,3,1.0
MEAS_R000295,20260811,3,1.0
MEAS_R000304,20260607,3,1.0
MEAS_R000312,20260701,3,1.0
MEAS_R000315,20260903,3,1.0
MEAS_R000317,20260701,3,1.0
MEAS_R000328,20260701,3,1.0
MEAS_R000329,20260523,3,1.0
MEAS_R000330,20260607,3,1.0
MEAS_R000338,20260607,3,1.0
MEAS_R000341,20260903,3,1.0
MEAS_R000348,20260701,3,1.0
MEAS_R000356,20260903,3,1.0
MEAS_R000358,20260701,3,1.0
MEAS_R000359,20260701,3,1.0
MEAS_R000367,20260811,3,1.0
MEAS_R000377,20260607,3,1.0
MEAS_R000378,20260523,3,1.0
MEAS_R000387,20260523,3,1.0
MEAS_R000394,20260523,3,1.0
MEAS_R000400,20260903,3,1.0
MEAS_R000414,20260607,3,1.0
MEAS_R000420,20260607,3,1.0
MEAS_R000423,20260701,3,1.0
MEAS_R000429,20260811,3,1.0
MEAS_R000436,20260607,3,1.0
MEAS_R000448,20260607,3,1.0
MEAS_R000455,20260523,3,1.0
MEAS_R000474,20260607,3,1.0
MEAS_R000475,20260903,3,1.0
MEAS_R000492,20260607,3,1.0
MEAS_R000499,20260811,3,1.0
MEAS_R000505,20260607,3,1.0
MEAS_R000511,20260903,3,1.0
MEAS_R000518,20260607,3,1.0
MEAS_R000520,20260607,3,1.0
MEAS_R000006,20260607,3,1.0
MEAS_R000014,20260523,3,1.0
MEAS_R000016,20260523,3,1.0
MEAS_R000022,20260701,3,1.0
MEAS_R000026,20260701,3,1.0
MEAS_R000039,20260811,3,1.0
MEAS_R000043,20260523,3,1.0
MEAS_R000048,20260523,3,1.0
MEAS_R000051,20260811,3,1.0
MEAS_R000064,20260811,3,1.0
MEAS_R000071,20260701,3,1.0
MEAS_R000075,20260523,3,1.0
MEAS_R000086,20260523,3,1.0
MEAS_R000087,20260903,3,1.0
MEAS_R000089,20260811,3,1.0
MEAS_R000099,20260701,3,1.0
MEAS_R000103,20260607,3,1.0
MEAS_R000104,20260607,3,1.0
MEAS_R000114,20260607,3,1.0
MEAS_R000116,20260607,3,1.0
MEAS_R000125,20260523,3,1.0
MEAS_R000126,20260903,3,1.0
MEAS_R000131,20260811,3,1.0
MEAS_R000136,20260607,3,1.0
MEAS_R000137,20260811,3,1.0
MEAS_R000142,20260523,3,1.0
MEAS_R000145,20260811,3,1.0
MEAS_R000152,20260523,3,1.0
MEAS_R000154,20260701,3,1.0
MEAS_R000180,20260607,3,1.0
MEAS_R000184,20260607,3,1.0
MEAS_R000187,20260607,3,1.0
MEAS_R000192,20260607,3,1.0
MEAS_R000194,20260903,3,1.0
MEAS_R000197,20260523,3,1.0
MEAS_R000206,20260903,3,1.0
MEAS_R000208,20260903,3,1.0
MEAS_R000218,20260701,3,1.0
MEAS_R000222,20260523,3,1.0
MEAS_R000227,20260811,3,1.0
MEAS_R000235,20260523,3,1.0
MEAS_R000237,20260523,3,1.0
MEAS_R000239,20260607,3,1.0
MEAS_R000256,20260607,3,1.0
MEAS_R000262,20260811,3,1.0
MEAS_R000267,20260523,3,1.0
MEAS_R000268,20260903,3,1.0
MEAS_R000278,20260607,3,1.0
MEAS_R000281,20260701,3,1.0
MEAS_R000290,20260701,3,1.0
MEAS_R000292,20260607,3,1.0
MEAS_R000293,20260811,3,1.0
MEAS_R000299,20260607,3,1.0
MEAS_R000305,20260701,3,1.0
MEAS_R000309,20260811,3,1.0
MEAS_R000319,20260607,3,1.0
MEAS_R000322,20260811,3,1.0
MEAS_R000331,20260701,3,1.0
MEAS_R000332,20260811,3,1.0
MEAS_R000343,20260701,3,1.0
MEAS_R000346,20260523,3,1.0
MEAS_R000347,20260903,3,1.0
MEAS_R000360,20260701,3,1.0
MEAS_R000361,20260523,3,1.0
MEAS_R000366,20260701,3,1.0
MEAS_R000370,20260811,3,1.0
MEAS_R000371,20260811,3,1.0
MEAS_R000380,20260607,3,1.0
MEAS_R000388,20260607,3,1.0
MEAS_R000393,20260523,3,1.0
MEAS_R000395,20260701,3,1.0
MEAS_R000401,20260811,3,1.0
MEAS_R000402,20260811,3,1.0
MEAS_R000403,20260523,3,1.0
MEAS_R000406,20260903,3,1.0
MEAS_R000410,20260607,3,1.0
MEAS_R000411,20260903,3,1.0
MEAS_R000413,20260607,3,1.0
MEAS_R000415,20260903,3,1.0
MEAS_R000417,20260811,3,1.0
MEAS_R000426,20260811,3,1.0
MEAS_R000427,20260701,3,1.0
MEAS_R000428,20260811,3,1.0
MEAS_R000431,20260811,3,1.0
MEAS_R000437,20260701,3,1.0
MEAS_R000438,20260811,3,1.0
MEAS_R000439,20260903,3,1.0
MEAS_R000444,20260523,3,1.0
MEAS_R000446,20260811,3,1.0
MEAS_R000451,20260903,3,1.0
MEAS_R000452,20260701,3,1.0
MEAS_R000459,20260903,3,1.0
MEAS_R000469,20260811,3,1.0
MEAS_R000481,20260523,3,1.0
MEAS_R000483,20260523,3,1.0
MEAS_R000484,20260607,3,1.0
MEAS_R000486,20260903,3,1.0
MEAS_R000497,20260523,3,1.0
MEAS_R000508,20260811,3,1.0
MEAS_R000510,20260903,3,1.0
MEAS_R000514,20260607,3,1.0
