PacketRecordID,TestDayCode,TestRound,Distance_m,Direction,Azimuth_deg,PacketSequence,Received,RSSI_dBm,SNR_dB,ObstructionClass,GatewaySiteCode,TransmitterSiteCode,SourceSentinelValue,SignalMetricValid
LORA_050M_N_032,DAY_01,1,50,N,0,32,1,-73.4,9.6,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_033,DAY_01,1,50,N,0,33,1,-73.4,11.7,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_034,DAY_01,1,50,N,0,34,1,-66,9.8,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_035,DAY_01,1,50,N,0,35,1,-72.5,10.8,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_036,DAY_01,1,50,N,0,36,1,-73,9.2,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_037,DAY_01,1,50,N,0,37,1,-71.2,9.6,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_038,DAY_01,1,50,N,0,38,1,-72.9,9.3,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_039,DAY_01,1,50,N,0,39,1,-69.2,9.6,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_040,DAY_01,1,50,N,0,40,1,-76.1,9.5,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_041,DAY_01,1,50,N,0,41,1,-63.7,11.6,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_042,DAY_01,1,50,N,0,42,1,-79.1,10.4,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_043,DAY_01,1,50,N,0,43,1,-75,11.2,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_044,DAY_01,1,50,N,0,44,1,-70.5,10.3,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_045,DAY_01,1,50,N,0,45,1,-80.4,7.9,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_046,DAY_01,1,50,N,0,46,1,-69.5,10.9,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_047,DAY_01,1,50,N,0,47,1,-66.5,10.7,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_048,DAY_01,1,50,N,0,48,1,-61,10.2,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_049,DAY_01,1,50,N,0,49,1,-64.1,7.7,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_050,DAY_01,1,50,N,0,50,1,-68,11.3,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_051,DAY_01,1,50,N,0,51,1,-69.1,9.8,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_052,DAY_01,1,50,N,0,52,1,-77.1,10.8,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_053,DAY_01,1,50,N,0,53,1,-71.7,11.5,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_054,DAY_01,1,50,N,0,54,1,-76,11.3,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_055,DAY_01,1,50,N,0,55,1,-74.3,10.7,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_056,DAY_01,1,50,N,0,56,1,-72.3,9.6,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_057,DAY_01,1,50,N,0,57,1,-61.7,9.7,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_058,DAY_01,1,50,N,0,58,1,-65.3,10,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_059,DAY_01,1,50,N,0,59,1,-76.7,9.4,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_060,DAY_01,1,50,N,0,60,1,-61.4,11.4,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_061,DAY_01,1,50,N,0,61,1,-74.4,10.1,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_062,DAY_01,1,50,N,0,62,1,-71.8,9.9,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_063,DAY_01,1,50,N,0,63,1,-64.4,9,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_064,DAY_01,1,50,N,0,64,1,-66.5,11.7,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_065,DAY_01,1,50,N,0,65,1,-74.1,9.8,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_066,DAY_01,1,50,N,0,66,1,-67.5,10.1,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_067,DAY_01,1,50,N,0,67,1,-73.3,10.1,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_068,DAY_01,1,50,N,0,68,1,-68.6,8.5,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_069,DAY_01,1,50,N,0,69,1,-70.5,11.3,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_070,DAY_01,1,50,N,0,70,1,-67.9,8.5,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_071,DAY_01,1,50,N,0,71,1,-73.5,9.2,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_072,DAY_01,1,50,N,0,72,1,-67.5,9.5,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_073,DAY_01,1,50,N,0,73,1,-71,9.8,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_074,DAY_01,1,50,N,0,74,1,-78.1,8.4,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_075,DAY_01,1,50,N,0,75,1,-68.8,11.8,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_076,DAY_01,1,50,N,0,76,1,-66.1,10.9,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_077,DAY_01,1,50,N,0,77,1,-73.4,9.2,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_078,DAY_01,1,50,N,0,78,1,-69.9,10.8,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_079,DAY_01,1,50,N,0,79,1,-71.8,12.3,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_080,DAY_01,1,50,N,0,80,1,-73.6,11.5,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_081,DAY_01,1,50,N,0,81,1,-68.1,9.9,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_082,DAY_01,1,50,N,0,82,1,-64.4,9.3,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_083,DAY_01,1,50,N,0,83,1,-70.8,10,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_084,DAY_01,1,50,N,0,84,1,-66.4,9.4,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_085,DAY_01,1,50,N,0,85,1,-67.9,9.9,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_086,DAY_01,1,50,N,0,86,1,-66.2,10.5,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_087,DAY_01,1,50,N,0,87,1,-68.5,11.1,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_088,DAY_01,1,50,N,0,88,1,-77.5,9.6,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_089,DAY_01,1,50,N,0,89,1,-70.7,9.9,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_090,DAY_01,1,50,N,0,90,1,-74.8,9.7,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_091,DAY_01,1,50,N,0,91,1,-74.3,10.1,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_092,DAY_01,1,50,N,0,92,1,-69,11,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_093,DAY_01,1,50,N,0,93,1,-69.8,9.1,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_094,DAY_01,1,50,N,0,94,1,-69.7,9.5,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_095,DAY_01,1,50,N,0,95,1,-65.6,13.5,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_096,DAY_01,1,50,N,0,96,1,-74.9,9.6,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_097,DAY_01,1,50,N,0,97,1,-71.3,9.7,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_098,DAY_01,1,50,N,0,98,1,-67.1,10.6,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_099,DAY_01,1,50,N,0,99,1,-74.4,11,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_N_100,DAY_01,1,50,N,0,100,1,-74.2,9,open_or_light_wall_obstruction,GW_01,TX_050M_N,,1
LORA_050M_NE_001,DAY_01,1,50,NE,45,1,1,-72.4,10.8,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_002,DAY_01,1,50,NE,45,2,1,-73.7,10.6,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_003,DAY_01,1,50,NE,45,3,1,-67,9.3,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_004,DAY_01,1,50,NE,45,4,1,-67.9,8.3,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_005,DAY_01,1,50,NE,45,5,1,-75.8,9.7,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_006,DAY_01,1,50,NE,45,6,1,-72.8,10.2,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_007,DAY_01,1,50,NE,45,7,1,-70.2,6.3,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_008,DAY_01,1,50,NE,45,8,1,-66.5,9.3,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_009,DAY_01,1,50,NE,45,9,1,-78.8,11.8,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_010,DAY_01,1,50,NE,45,10,1,-70.7,8.6,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_011,DAY_01,1,50,NE,45,11,1,-73,9.6,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_012,DAY_01,1,50,NE,45,12,1,-68.5,8.9,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_013,DAY_01,1,50,NE,45,13,1,-72,10.4,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_014,DAY_01,1,50,NE,45,14,1,-75.5,9.3,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_015,DAY_01,1,50,NE,45,15,1,-72.5,11.7,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_016,DAY_01,1,50,NE,45,16,1,-72.7,9.2,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_017,DAY_01,1,50,NE,45,17,1,-68.5,10.1,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_018,DAY_01,1,50,NE,45,18,1,-76.8,10.8,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_019,DAY_01,1,50,NE,45,19,1,-68.7,9.5,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_020,DAY_01,1,50,NE,45,20,1,-67.9,10.1,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_021,DAY_01,1,50,NE,45,21,1,-75.4,9.4,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_022,DAY_01,1,50,NE,45,22,1,-70,7.6,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_023,DAY_01,1,50,NE,45,23,1,-75.6,8.2,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_024,DAY_01,1,50,NE,45,24,1,-67.6,9.1,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_025,DAY_01,1,50,NE,45,25,1,-70,9.8,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_026,DAY_01,1,50,NE,45,26,1,-76.9,9.2,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_027,DAY_01,1,50,NE,45,27,1,-67.6,8.8,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_028,DAY_01,1,50,NE,45,28,1,-75.6,9.5,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_029,DAY_01,1,50,NE,45,29,1,-70.7,9.3,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_030,DAY_01,1,50,NE,45,30,1,-63.3,10.7,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_031,DAY_01,1,50,NE,45,31,1,-70.2,8,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_032,DAY_01,1,50,NE,45,32,1,-65.6,9.2,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_033,DAY_01,1,50,NE,45,33,1,-71,11,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_034,DAY_01,1,50,NE,45,34,1,-70.2,11.3,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_035,DAY_01,1,50,NE,45,35,1,-75.2,9.7,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_036,DAY_01,1,50,NE,45,36,1,-74.6,9.9,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_037,DAY_01,1,50,NE,45,37,1,-72.8,10.5,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_038,DAY_01,1,50,NE,45,38,1,-62.4,8.3,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_039,DAY_01,1,50,NE,45,39,1,-66,10.5,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_040,DAY_01,1,50,NE,45,40,1,-68.2,10.3,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_041,DAY_01,1,50,NE,45,41,1,-73.7,9.7,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_042,DAY_01,1,50,NE,45,42,1,-68.1,8.6,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_043,DAY_01,1,50,NE,45,43,1,-71.8,9.5,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_044,DAY_01,1,50,NE,45,44,1,-69.4,10.1,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_045,DAY_01,1,50,NE,45,45,1,-62.4,10.8,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_046,DAY_01,1,50,NE,45,46,1,-74.2,9.2,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_047,DAY_01,1,50,NE,45,47,1,-75.9,10,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_048,DAY_01,1,50,NE,45,48,1,-67.9,10.1,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_049,DAY_01,1,50,NE,45,49,1,-80.4,10.1,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_050,DAY_01,1,50,NE,45,50,1,-80.8,10,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_051,DAY_01,1,50,NE,45,51,1,-67.4,9.6,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_052,DAY_01,1,50,NE,45,52,1,-68.4,8.8,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_053,DAY_01,1,50,NE,45,53,1,-71.7,10.5,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_054,DAY_01,1,50,NE,45,54,1,-74.5,8.6,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_055,DAY_01,1,50,NE,45,55,1,-69.4,11.2,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_056,DAY_01,1,50,NE,45,56,1,-70.5,8.5,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_057,DAY_01,1,50,NE,45,57,1,-67,9.6,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_058,DAY_01,1,50,NE,45,58,1,-68.9,10.9,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_059,DAY_01,1,50,NE,45,59,1,-65.1,10.3,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_060,DAY_01,1,50,NE,45,60,1,-75.3,9.3,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_061,DAY_01,1,50,NE,45,61,1,-72.2,9.4,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_062,DAY_01,1,50,NE,45,62,1,-67.5,9.8,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_063,DAY_01,1,50,NE,45,63,1,-70.9,10.5,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_064,DAY_01,1,50,NE,45,64,1,-81,10.7,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_065,DAY_01,1,50,NE,45,65,1,-70.4,9.4,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_066,DAY_01,1,50,NE,45,66,0,,,open_or_light_wall_obstruction,GW_01,TX_050M_NE,91,0
LORA_050M_NE_067,DAY_01,1,50,NE,45,67,1,-66.3,9.4,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_068,DAY_01,1,50,NE,45,68,1,-74.1,9.7,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_069,DAY_01,1,50,NE,45,69,1,-70,9.6,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_070,DAY_01,1,50,NE,45,70,1,-71.4,8.5,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_071,DAY_01,1,50,NE,45,71,1,-77.4,9.6,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_072,DAY_01,1,50,NE,45,72,1,-69.6,9.8,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_073,DAY_01,1,50,NE,45,73,1,-70.4,8.5,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_074,DAY_01,1,50,NE,45,74,1,-73.4,7.8,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_075,DAY_01,1,50,NE,45,75,1,-69.3,9,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_076,DAY_01,1,50,NE,45,76,1,-69.8,9.7,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_077,DAY_01,1,50,NE,45,77,1,-73.2,8.2,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_078,DAY_01,1,50,NE,45,78,1,-64.4,9.5,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_079,DAY_01,1,50,NE,45,79,1,-68.7,11,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_080,DAY_01,1,50,NE,45,80,1,-72.7,9.5,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_081,DAY_01,1,50,NE,45,81,1,-67.6,7.3,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_082,DAY_01,1,50,NE,45,82,1,-66.4,10.8,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_083,DAY_01,1,50,NE,45,83,1,-68.1,8.6,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_084,DAY_01,1,50,NE,45,84,1,-65.2,11.1,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_085,DAY_01,1,50,NE,45,85,1,-70,9.7,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_086,DAY_01,1,50,NE,45,86,1,-67.3,8.2,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_087,DAY_01,1,50,NE,45,87,1,-72.8,8.5,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_088,DAY_01,1,50,NE,45,88,1,-72.7,6.7,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_089,DAY_01,1,50,NE,45,89,1,-77.5,7.7,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_090,DAY_01,1,50,NE,45,90,1,-78.3,9.6,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_091,DAY_01,1,50,NE,45,91,1,-74.9,10,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_092,DAY_01,1,50,NE,45,92,1,-78.8,11.3,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_093,DAY_01,1,50,NE,45,93,1,-76.1,9.7,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_094,DAY_01,1,50,NE,45,94,1,-74.5,10.3,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_095,DAY_01,1,50,NE,45,95,1,-82.4,10.9,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_096,DAY_01,1,50,NE,45,96,1,-68.7,10.3,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_097,DAY_01,1,50,NE,45,97,1,-72.1,11.6,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_098,DAY_01,1,50,NE,45,98,1,-69,10.1,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
LORA_050M_NE_099,DAY_01,1,50,NE,45,99,1,-65.4,10.8,open_or_light_wall_obstruction,GW_01,TX_050M_NE,,1
